,NO,song,resource,Web
,1,ANTIFRAGILE_(song),Wiki_f,https://le-sserafim.fandom.com/wiki/ANTIFRAGILE_(song)
,2,Fearless_(Le_Sserafim_song),Wiki,
,3,impurities,,
,4,Good Parts (when the quality is bad but I am),,
,5,no celestial,,
,6,Blue_Flame,Wiki_f,
,7,Sour_Grapes,Wiki_f,
,8,The Hydra,,
,9,The_Great_Mermaid,Wiki_f,
,10,The_World_Is_My_Oyster,,
